project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (minutes)
java-decompiler/jd-gui,F,5.2.1,N/A,,,,,0
pxb1988/dex2jar:d2j-base-cmd,T,6.9.1,error,,,,,3
pxb1988/dex2jar:d2j-jasmin,T,6.9.1,error,,,,,3
pxb1988/dex2jar:d2j-smali,T,6.9.1,error,,,,,3
pxb1988/dex2jar:dex-ir,T,6.9.1,error,,,,,3
pxb1988/dex2jar:dex-reader,T,6.9.1,error,,,,,4
pxb1988/dex2jar:dex-reader-api,T,6.9.1,error,,,,,4
pxb1988/dex2jar:dex-tools,T,6.9.1,error,,,,,4
pxb1988/dex2jar:dex-translator,T,6.9.1,error,,,,,4
pxb1988/dex2jar:dex-writer,T,6.9.1,error,,,,,4
mission-peace/interview,F,2.11,N/A,,,,,0
SonarSource/sonarqube:plugins,T,7.5.1,error,,,,,36
SonarSource/sonarqube:server,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-application,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-core,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-duplications,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-markdown,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-plugin-api-impl,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-scanner-engine,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-scanner-engine-shaded,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-scanner-protocol,T,7.5.1,error,,,,,36
SonarSource/sonarqube:sonar-shutdowner,T,7.5.1,error,,,,,37
SonarSource/sonarqube:sonar-testing-harness,T,7.5.1,error,,,,,37
SonarSource/sonarqube:sonar-testing-ldap,T,7.5.1,error,,,,,37
SonarSource/sonarqube:sonar-ws,T,7.5.1,error,,,,,37
SonarSource/sonarqube:sonar-ws-generator,T,7.5.1,error,,,,,37
SonarSource/sonarqube:test-monitoring,T,7.5.1,error,,,,,37
SonarSource/sonarqube:ut-monitoring,T,7.5.1,error,,,,,37
spring-projects/spring-security:spring-security-acl,T,8.5,0,157,157,0,0,31
spring-projects/spring-security:spring-security-aspects,T,8.5,0,30,30,0,0,32
spring-projects/spring-security:spring-security-bom,T,8.5,no test,,,,,32
spring-projects/spring-security:spring-security-cas,T,8.5,0,67,67,0,0,33
spring-projects/spring-security:spring-security-config,T,8.5,0,2603,2601,0,2,52
spring-projects/spring-security:spring-security-core,T,8.5,0,1162,1141,0,21,55
spring-projects/spring-security:spring-security-crypto,T,8.5,0,264,264,0,0,57
